TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,53,33,44,42,o,20,9,True,False,False,6.67018985748,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,False,False,9.7208199501,False,True,False,44,17052019,60.09220921,PreComm_Practice,,
2,34,22,31,25,g,12,3,True,False,False,6.63276910782,True,False,False,False,0,0,0.7,0.3,True,False,False,16.6007831097,False,True,False,False,False,0,False,False,False,31,17052019,60.09220921,PreComm_Practice,,
3,71,51,84,38,r,20,-13,True,False,False,6.66503310204,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
4,85,57,98,44,x,28,-13,True,False,False,6.6484670639,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
5,54,50,41,63,e,4,13,False,False,True,6.64869213104,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
6,61,33,52,42,u,28,9,True,False,False,6.64943504333,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
7,70,50,57,63,q,20,13,False,False,True,6.68257594109,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
8,33,29,30,32,a,4,3,False,False,True,6.63269305229,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
9,37,25,24,38,k,12,13,False,False,True,6.63138413429,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
10,20,16,11,25,c,4,9,False,False,True,6.64843797684,False,False,True,0,0,0,0,0.35,0,False,False,0,False,False,False,False,False,0,False,False,False,0,17052019,60.09220921,PreComm_Practice,,
